# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-25 07:49:41 CST
# place|confirmed_cases|deaths|notes|sources
Guangdong|53|0||
Beijing|36|0||
Fujian|10|0||
Qinghai|0|0||
Macau|2|0||
Taiwan|3|0||
Hong Kong|2|0||
Heilongjiang|4|1||
Shanxi|6|0||
Jiangsu|9|0||
Hunan|24|0||
Yunnan|5|0||
Gansu|2|0||
Guangxi|23|0||
Jiangxi|18|0||
Anhui|15|0||
Guizhou|3|0||
Hebei|2|1||
Liaoning|4|0||
Chongqing|27|0||
Jilin|3|0||
Hainan|8|0||
Henan|9|0||
Ningxia|2|0||
Shaanxi|5|0||
Zhejiang|43|0||
Sichuan|15|0||
Xinjiang|2|0||
Hubei|729|39||
Inner Mongolia|2|0||
Shandong|15|0||
Tianjin|8|0||
Shanghai|20|0||
