# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-24 10:34:04 CST
# place|confirmed_cases|deaths|notes|sources
Tianjin|5|0||
Jilin|3|0||
Beijing|26|0||
Ningxia|1|0||
Gansu|2|0||
Guangdong|53|0||
Hubei|549|0||
Macau|2|0||
Shanxi|1|0||
Sichuan|15|0||
Yunnan|2|0||
Inner Mongolia|0|0||
Hainan|8|0||
Xinjiang|2|0||
Anhui|15|0||
Jiangxi|7|0||
Zhejiang|43|0||
Liaoning|3|0||
Heilongjiang|4|0||
Shandong|9|0||
Guangxi|13|0||
Shaanxi|3|0||
Chongqing|27|0||
Shanghai|20|0||
Hong Kong|2|0||
Guizhou|3|0||
Hebei|2|1||
Taiwan|1|0||
Henan|9|0||
Fujian|5|0||
Hunan|9|0||
Jiangsu|9|0||
